Mean,Min,Max,Ch,Frame,
1,2576,1814,3921,1,1
2,2667,1894,3602,1,2
3,2432,1906,3282,1,3
4,2386,1850,3370,1,4
5,2437,1897,3195,1,5
6,2460,1894,3223,1,6
7,2464,1859,3254,1,7
8,2414,1833,3170,1,8
9,2436,1853,3279,1,9
10,2393,1816,3287,1,10
11,2498,1864,3329,1,11
12,2593,1864,3725,1,12
13,2818,1881,5098,1,13
14,3014,1824,6199,1,14
15,2888,1889,4999,1,15
16,2549,1859,3834,1,16
17,2611,1839,3560,1,17
18,2589,1848,3643,1,18
19,2665,1861,3729,1,19
20,2493,1700,3612,1,20
21,2370,1808,3115,1,21
22,2445,1822,3103,1,22
23,2541,1713,3761,1,23
24,2644,1808,4047,1,24
25,2746,1773,4443,1,25
26,2819,1815,5038,1,26
27,2901,1647,6401,1,27
28,2758,1819,6119,1,28
29,2749,1814,5314,1,29
30,2764,1859,4739,1,30
31,2847,1840,5272,1,31
32,2939,1844,4946,1,32
33,2790,1757,4733,1,33
34,2649,1718,4357,1,34
35,2551,1780,3792,1,35
36,2741,1827,4567,1,36
37,2880,1722,5391,1,37
38,2946,1911,5667,1,38
39,2805,1801,5208,1,39
40,2703,1734,4796,1,40
41,2773,1772,5040,1,41
42,2735,1808,4939,1,42
43,2583,1767,4408,1,43
44,2484,1697,3866,1,44
45,2581,1812,4184,1,45
46,2515,1737,3975,1,46
47,2571,1778,4252,1,47
48,2604,1801,4451,1,48
49,2683,1708,5190,1,49
50,2662,1703,4754,1,50
51,2632,1727,4721,1,51
52,2551,1684,3911,1,52
53,2661,1761,4714,1,53
54,2794,1703,5198,1,54
55,2719,1747,4928,1,55
56,2684,1796,4728,1,56
57,2741,1856,4916,1,57
58,2745,1933,4656,1,58
59,2711,1818,4708,1,59
60,2753,1702,5350,1,60
61,2796,1869,5456,1,61
62,2923,1807,6227,1,62
63,2928,1777,5710,1,63
64,2771,1894,4929,1,64
65,2645,1871,4454,1,65
66,2563,1786,4237,1,66
67,2670,1829,4593,1,67
68,2884,2046,5364,1,68
69,2892,1821,5544,1,69
70,2781,1886,5048,1,70
71,2857,1917,5271,1,71
72,2829,1967,5413,1,72
73,2636,1885,4889,1,73
74,2643,1914,4697,1,74
75,2866,1900,5643,1,75
76,3055,2032,5710,1,76
77,2847,1826,5195,1,77
78,2534,1683,4161,1,78
79,2406,1870,3525,1,79
80,2571,1824,4439,1,80
81,2635,1934,4319,1,81
