 ,Mean,Min,Max,Ch,Frame
1,1066,0,2970,2,1
2,996,0,2198,2,2
3,1006,0,2486,2,3
4,1099,0,2761,2,4
5,952,0,4075,2,5
6,952,0,4783,2,6
7,897,0,4029,2,7
8,910,0,4516,2,8
9,1174,0,3659,2,9
10,882,0,2874,2,10
11,869,0,3527,2,11
12,1077,0,3058,2,12
13,974,0,4722,2,13
14,982,0,3311,2,14
15,818,0,2733,2,15
16,1154,0,2681,2,16
17,785,0,2218,2,17
18,841,0,2298,2,18
19,837,0,2253,2,19
20,889,0,3449,2,20
21,1083,0,3167,2,21
22,975,0,3585,2,22
23,880,0,2957,2,23
24,776,0,2133,2,24
25,728,0,2239,2,25
26,733,0,2115,2,26
27,745,0,2085,2,27
28,740,0,2255,2,28
29,1074,0,2439,2,29
30,770,0,2068,2,30
31,731,0,2207,2,31
32,881,0,2744,2,32
33,1213,0,2681,2,33
34,892,0,3172,2,34
35,966,0,2423,2,35
36,848,0,3075,2,36
37,1046,0,2447,2,37
38,992,0,2261,2,38
39,804,0,2440,2,39
40,980,0,2270,2,40
